t,x
1107,-2.570488866022009
1108,-2.67531829409957
1109,-2.714316482782034
1110,-2.772049696594862
1111,-2.743882377127866
1112,-2.7313707695047658
1113,-2.8827561837955655
1114,-2.8909674973049553
1115,-2.9093023523035892
1116,-2.786468675485974
1117,-2.6113860597499547
1118,-2.6508358462923556
1119,-2.6498095922671823
1120,-2.6315491397982638
1121,-2.4212973060469576
1122,-2.3647353082279103
1123,-2.3295741886848833
1124,-2.2648094849730636
1125,-2.270916331788251
1126,-2.014593538177532
1127,-2.0083046596627776
1128,-1.9622578219375564
1129,-1.967473219547382
1130,-1.962234286496594
1131,-1.8955367260809388
1132,-1.853258379307614
1133,-1.791652487336254
1134,-1.6426627908354043
1135,-1.6134736457583585
1136,-1.6426227931546395
1137,-1.5384439256968705
1138,-1.5402610414288593
1139,-1.5433962050905785
1140,-1.5029011785331234
1141,-1.5198047669384047
1142,-1.489707695314852
1143,-1.496634937912724
1144,-1.4994006696599018
1145,-1.4991457123609613
1146,-1.5830529630374697
1147,-1.5726964269235884
1148,-1.5715318884092118
1149,-1.5682067005388205
1150,-1.5748824588856571
1151,-1.6001548246839208
1152,-1.6366230944387348
1153,-1.7031122346819723
1154,-1.815715501663851
1155,-1.8243013689851355
1156,-1.8442834933080847
1157,-1.8662940263835945
1158,-1.8399062983769559
1159,-1.8377556514304085
1160,-1.8798284173008728
1161,-1.8706435617165535
1162,-1.9326216596772543
1163,-1.9330209489597239
1164,-1.9606367330755758
1165,-1.9589979022773707
1166,-1.8800562607743945
1167,-1.9065352067257557
1168,-1.9396549328420112
1169,-1.9441903706576846
1170,-1.9417144383779477
1171,-1.95551037576575
1172,-1.953899826249588
1173,-1.9775864529127587
1174,-2.1358877003251737
1175,-2.139879890306261
1176,-2.1451545289440563
1177,-2.348610830146512
1178,-2.302562721013082
1179,-2.2696600403188416
