t,H=0.1,H=0.2,H=0.3,H=0.4
1.390000000000000124e-01,9.900864355297315234e-01,8.509155048769975194e-01,9.576799248113526675e-01,1.017659552717385951e+00
1.400000000000000133e-01,9.586381140396809108e-01,8.381351386363521394e-01,9.528284749211716198e-01,1.018890777571515693e+00
1.410000000000000142e-01,8.816871589006806120e-01,8.564357551013128678e-01,9.601379604825949210e-01,1.006113585011482625e+00
1.420000000000000151e-01,8.947476769435948052e-01,8.237744387543488589e-01,9.776266359096746905e-01,1.003925631991982481e+00
1.430000000000000160e-01,9.330687831792945364e-01,8.244962358246479273e-01,9.575303899198479574e-01,1.003532355684501276e+00
1.440000000000000169e-01,8.479577571854941542e-01,8.261080150638693276e-01,9.805421589685853201e-01,1.002797418723364142e+00
1.449999999999999900e-01,9.503636241963633324e-01,8.672466303140918820e-01,9.854358261771554162e-01,1.004463435870770915e+00
1.459999999999999909e-01,9.024070485447581724e-01,8.126682285519096771e-01,9.800968978011725952e-01,1.006521585342905478e+00
1.469999999999999918e-01,9.279107846226263279e-01,8.454990720604818044e-01,9.823774209871128926e-01,9.949768640702634226e-01
1.479999999999999927e-01,9.722903324605647324e-01,8.514407327745108223e-01,9.836582117569819816e-01,9.898605568120475429e-01
1.489999999999999936e-01,9.637563197542576843e-01,8.528887623274604701e-01,9.710693732769121178e-01,9.936503597847977654e-01
1.499999999999999944e-01,9.677590115967840134e-01,8.388455468690070305e-01,9.539086964412326619e-01,1.003012053379587876e+00
1.509999999999999953e-01,9.986188326088105693e-01,8.501207792046731049e-01,9.577302539457814845e-01,9.951518224220979869e-01
1.519999999999999962e-01,1.016348652763215510e+00,8.652517860419304263e-01,9.509040415187890449e-01,9.898987789120261560e-01
1.529999999999999971e-01,9.783094302715638069e-01,8.751066753323618608e-01,9.608769955755553926e-01,9.952840204822175352e-01
1.539999999999999980e-01,1.010564014746711203e+00,8.616862473006658973e-01,9.681053762302483934e-01,9.904982744366928049e-01
1.549999999999999989e-01,1.025832392515662050e+00,8.373267847768479655e-01,9.813432543401866548e-01,9.934676709027961961e-01
1.559999999999999998e-01,1.017592299741268969e+00,8.405171917444261842e-01,9.669993498908572294e-01,9.904194217734492156e-01
1.570000000000000007e-01,1.011530432581753569e+00,8.707302480888795548e-01,9.663121706607553651e-01,9.956566791512045933e-01
1.580000000000000016e-01,9.509309230135752911e-01,9.041707986685961762e-01,9.811555538045335645e-01,9.996001488672605628e-01
1.590000000000000024e-01,9.379938034073245223e-01,9.022722461843959429e-01,9.855002032296341641e-01,1.006645861683450605e+00
1.600000000000000033e-01,9.042615268350304714e-01,8.885312502491892195e-01,9.791681004000427624e-01,1.006594417127279595e+00
1.610000000000000042e-01,9.542577919978109113e-01,9.125599846782452840e-01,9.797904104228607469e-01,1.009844774472998585e+00
1.620000000000000051e-01,9.030954036926887030e-01,8.833505036817859146e-01,9.865086631965923614e-01,1.015998568858910822e+00
1.630000000000000060e-01,9.391808721983698760e-01,9.184512761379329815e-01,9.938074385264992205e-01,1.027763273070344319e+00
1.640000000000000069e-01,9.969749139416679284e-01,9.004526198865281383e-01,9.870614628679656999e-01,1.022359737152023218e+00
1.650000000000000078e-01,9.613673378984552986e-01,9.000088300282703679e-01,9.815736397877754538e-01,1.018041186228428208e+00
1.660000000000000087e-01,9.409176408354984478e-01,8.760965118523587059e-01,9.745488639698197675e-01,1.018389592324879800e+00
1.670000000000000095e-01,9.088013382180999411e-01,8.808344786912992719e-01,9.891579899271070175e-01,1.023028579287498907e+00
1.680000000000000104e-01,9.289206070086974965e-01,8.672445800182827513e-01,9.881905778888833147e-01,1.030895891003772658e+00
1.690000000000000113e-01,9.549271869186211070e-01,8.781476520347540893e-01,9.785905687801270680e-01,1.038040805095049812e+00
1.700000000000000122e-01,9.510263244273092775e-01,8.352324529489255633e-01,9.978944949961651156e-01,1.042366372924129481e+00
1.710000000000000131e-01,8.852060450759773325e-01,8.257090452473259123e-01,9.968622824806878668e-01,1.031913963660827216e+00
