t,alpha=-2,alpha=-10,alpha=-20,alpha=-50,alpha=-100
9.299999999999999933e-02,7.421522739206816155e-01,3.609691706816303136e-01,1.923293145502747992e-01,-2.067966869865591195e-01,-7.003745250234959946e-03
9.400000000000000022e-02,7.660932489754924690e-01,2.819033759985146159e-01,1.579531548641023853e-01,-2.145320986535119989e-01,3.014822083970988831e-02
9.500000000000000111e-02,7.615150515615223270e-01,2.730065639156531998e-01,1.424847330398647249e-01,-1.042346601519942156e-01,1.047212872905624662e-02
9.600000000000000200e-02,7.674560748491605633e-01,2.911267405355443261e-01,1.336225218538362736e-01,-9.742589624279184013e-02,3.110086345776973127e-02
9.700000000000000289e-02,7.956459180292815292e-01,2.941633989810659711e-01,9.834948188647668621e-02,-9.404204413024612463e-02,8.022218230941888240e-03
9.800000000000000377e-02,8.302185429522181970e-01,2.786770659318283383e-01,8.649506448107666112e-02,-7.720501312736180455e-02,5.908199317419988300e-02
9.900000000000000466e-02,8.226375138788715180e-01,3.185275211402868178e-01,9.379336634560209163e-02,-8.238278521658273790e-02,2.473955415759816062e-02
1.000000000000000056e-01,8.020482871449575724e-01,2.981674145467441694e-01,1.096923698274984010e-01,-5.726181509840770623e-02,2.713731867073863879e-02
1.010000000000000064e-01,8.281020295808082521e-01,2.610544806439752397e-01,8.293084197650105183e-02,-7.014809316964228103e-02,2.699922114532234130e-02
1.020000000000000073e-01,7.733374094134866095e-01,1.981477900968212358e-01,8.033196504593605181e-02,-6.209443639837954748e-02,2.056186096421392870e-02
1.030000000000000082e-01,7.620444308571217018e-01,1.753536226130769649e-01,1.115876487925678701e-01,-4.060197461194901825e-02,-8.954705828226897091e-03
1.040000000000000091e-01,7.651633980403275137e-01,1.065033543430282253e-01,1.445208861669363964e-01,-6.451679303588744863e-02,-2.203316883235021534e-02
1.049999999999999961e-01,7.533891908137846372e-01,8.231252175982302355e-02,9.156742502316411736e-02,-1.071020014999013725e-01,3.068384139938727662e-03
1.059999999999999970e-01,7.730871835538403181e-01,5.778465336409112363e-02,1.627826375583778518e-01,-1.241474069841850547e-01,3.847728088089059917e-02
1.069999999999999979e-01,7.318185914136768888e-01,2.972170816915596300e-02,1.694836108475675507e-01,-1.623165320447939597e-01,9.229290443155427348e-02
1.079999999999999988e-01,6.860189797183356974e-01,3.206700827376057772e-02,2.068561617774897221e-01,-1.353859144607001130e-01,5.787241933914070990e-02
1.089999999999999997e-01,6.984978768574262586e-01,-1.427885612957224132e-02,1.785125069345981641e-01,-1.208568094175020702e-01,1.627143388640996113e-02
1.100000000000000006e-01,6.752638713737112441e-01,6.112728709527585208e-02,1.249303139532197821e-01,-1.331261535616337921e-01,4.119125216713145909e-02
1.110000000000000014e-01,6.772337615877500605e-01,1.053156400095706519e-01,1.350566904862145479e-01,-1.252132909333092681e-01,3.913761188683126391e-02
1.120000000000000023e-01,6.379814670746511984e-01,1.058255504516440182e-01,1.862234224114769909e-01,-1.471315306651714561e-01,5.013052892105951397e-02
1.130000000000000032e-01,6.428350984241328891e-01,1.071694751098415943e-01,2.151312191538085616e-01,-2.026948842614071933e-01,1.071060838795364900e-01
1.140000000000000041e-01,6.196481609460637863e-01,9.167200438071398949e-02,2.217435835263800448e-01,-1.591048710418592194e-01,7.809358319004143512e-02
1.150000000000000050e-01,7.088256674749786601e-01,7.431420675589990588e-02,2.540445914362959856e-01,-1.527514953415746168e-01,1.107096028721238634e-01
1.160000000000000059e-01,7.268128775681782505e-01,6.480636213449059158e-02,2.141823942756415355e-01,-1.456108732034111508e-01,8.236418763953687328e-02
1.170000000000000068e-01,7.458811705157037952e-01,9.720680348945309746e-02,1.692205608738450440e-01,-9.744087602411474758e-02,8.192110458690425590e-02
1.180000000000000077e-01,7.515022260767234563e-01,1.150918769628212490e-01,1.622053877918786524e-01,-1.053355358734320429e-01,-2.143571255246320972e-03
1.190000000000000085e-01,8.151747579634265328e-01,9.342779434526662929e-02,1.789459353228535221e-01,-1.146742394438577117e-01,-1.931375677798200657e-02
